bank_name,reporting_date,demand_deposit_rate,savings_deposit_rate,time_deposit_rate
UNITED BANK FOR AFRICA,2026-01-30,,8.1,15.34
UNION BANK,2026-01-30,0.04,8.1,14.75
UNITY BANK,2026-01-30,2.5,8.1,14.5
WEMA BANK,2026-01-30,4.5,8.1,10.0
ZENITH BANK,2026-01-30,1.52,8.1,10.48
ACCESS BANK,2026-02-06,,,
ALPHA MORGAN BANK,2026-02-06,0.57,8.1,15.0
CITI BANK,2026-02-06,,8.1,18.0
CORONATION MERCHANT BANK,2026-02-06,1.55,8.1,8.59
ECOBANK,2026-02-06,,,15.72
FBN QUEST MERCHANT BANK,2026-02-06,1.1,6.0,10.2
FCMB,2026-02-06,,,8.47
FIDELITY BANK,2026-02-06,0.62,4.25,13.0
FIRST BANK OF NIGERIA,2026-02-06,0.5,8.1,10.0
FSDH MERCHANT BANK,2026-02-06,,8.25,11.05
GLOBUS BANK LTD,2026-02-06,0.5,,18.0
GREENWICH MERCHANT BANK,2026-02-06,0.01,8.18,15.5
GUARANTY TRUST BANK,2026-02-06,14.0,,18.0
KEYSTONE BANK LTD,2026-02-06,1.0,8.1,8.0
NOVA BANK,2026-02-06,0.29,8.1,19.15
OPTIMUS BANK,2026-02-06,,8.0,14.68
PARALLEX BANK,2026-02-06,7.33,8.1,9.04
POLARIS BANK,2026-02-06,,8.1,12.7
PREMIUM TRUST BANK,2026-02-06,,8.1,10.5
PROVIDUS BANK,2026-02-06,,8.1,15.0
RAND MERCHANT BANK NIG. LTD,2026-02-06,2.5,8.1,16.0
SIGNATURE BANK,2026-02-06,0.19,,17.75
STANBIC IBTC,2026-02-06,,8.01,12.6
STANDARD CHARTERED BANK,2026-02-06,0.1,2.7,11.3
STERLING BANK,2026-02-06,,8.1,12.52
SUNTRUST BANK,2026-02-06,0.33,8.1,16.21
TATUM BANK,2026-02-06,,8.1,15.9
UNITED BANK FOR AFRICA,2026-02-06,,8.1,15.32
UNION BANK,2026-02-06,0.04,8.1,14.75
UNITY BANK,2026-02-06,2.5,8.1,14.5
WEMA BANK,2026-02-06,4.5,8.1,10.0
ZENITH BANK,2026-02-06,1.52,8.1,10.73
ACCESS BANK,2026-02-13,,,
ALPHA MORGAN BANK,2026-02-13,0.6,8.1,15.0
CITI BANK,2026-02-13,,8.1,18.0
CORONATION MERCHANT BANK,2026-02-13,1.55,8.1,8.59
ECOBANK,2026-02-13,,,15.69
FBN QUEST MERCHANT BANK,2026-02-13,1.3,5.9,13.4
FCMB,2026-02-13,,,7.94
FIDELITY BANK,2026-02-13,0.5,4.25,13.0
FIRST BANK OF NIGERIA,2026-02-13,0.5,8.1,10.0
FSDH MERCHANT BANK,2026-02-13,,8.25,11.05
GLOBUS BANK LTD,2026-02-13,0.5,,18.5
GREENWICH MERCHANT BANK,2026-02-13,0.01,8.18,15.5
GUARANTY TRUST BANK,2026-02-13,14.0,,18.0
KEYSTONE BANK LTD,2026-02-13,1.0,8.1,8.0
NOVA BANK,2026-02-13,1.74,8.1,19.77
OPTIMUS BANK,2026-02-13,,8.0,14.5
PARALLEX BANK,2026-02-13,7.33,8.1,9.04
POLARIS BANK,2026-02-13,,8.1,12.6
PREMIUM TRUST BANK,2026-02-13,,8.1,10.5
PROVIDUS BANK,2026-02-13,,8.1,15.0
RAND MERCHANT BANK NIG. LTD,2026-02-13,2.5,8.1,16.0
SIGNATURE BANK,2026-02-13,0.14,,17.84
STANBIC IBTC,2026-02-13,,8.01,12.86
STANDARD CHARTERED BANK,2026-02-13,0.11,2.7,10.45
STERLING BANK,2026-02-13,,8.1,12.58
SUNTRUST BANK,2026-02-13,0.33,8.1,16.21
TATUM BANK,2026-02-13,,8.1,15.7
UNITED BANK FOR AFRICA,2026-02-13,,8.1,15.2
UNION BANK,2026-02-13,0.04,8.1,14.75
UNITY BANK,2026-02-13,2.5,8.1,14.5
WEMA BANK,2026-02-13,4.5,8.1,10.0
ZENITH BANK,2026-02-13,1.52,8.1,10.77
ACCESS BANK,2026-02-20,,,
ALPHA MORGAN BANK,2026-02-20,0.58,8.1,15.0
CITI BANK,2026-02-20,,8.1,18.0
CORONATION MERCHANT BANK,2026-02-20,1.55,8.1,8.59
ECOBANK,2026-02-20,,,14.1
FBN QUEST MERCHANT BANK,2026-02-20,1.3,5.9,13.4
FCMB,2026-02-20,,,7.82
FIDELITY BANK,2026-02-20,0.44,4.25,13.0
FIRST BANK OF NIGERIA,2026-02-20,0.5,8.1,10.0
FSDH MERCHANT BANK,2026-02-20,,8.25,11.05
GLOBUS BANK LTD,2026-02-20,0.5,,18.0
GREENWICH MERCHANT BANK,2026-02-20,0.01,8.18,15.47
GUARANTY TRUST BANK,2026-02-20,14.0,,18.0
KEYSTONE BANK LTD,2026-02-20,1.0,8.1,8.0
NOVA BANK,2026-02-20,2.03,8.1,20.68
OPTIMUS BANK,2026-02-20,,8.0,14.5
PARALLEX BANK,2026-02-20,7.33,8.1,9.04
POLARIS BANK,2026-02-20,,8.1,12.6
PREMIUM TRUST BANK,2026-02-20,,8.1,10.5
PROVIDUS BANK,2026-02-20,,8.1,15.0
RAND MERCHANT BANK NIG. LTD,2026-02-20,2.5,8.1,16.0
SIGNATURE BANK,2026-02-20,0.15,,17.12
STANBIC IBTC,2026-02-20,,8.1,12.69
STANDARD CHARTERED BANK,2026-02-20,0.41,2.7,9.55
STERLING BANK,2026-02-20,,8.1,12.43
SUNTRUST BANK,2026-02-20,0.33,8.1,16.21
TATUM BANK,2026-02-20,,8.1,15.7
UNITED BANK FOR AFRICA,2026-02-20,,8.1,14.88
UNION BANK,2026-02-20,0.04,8.1,14.75
UNITY BANK,2026-02-20,2.5,8.1,14.5
WEMA BANK,2026-02-20,4.5,8.1,10.0
ZENITH BANK,2026-02-20,1.52,8.1,10.75
ACCESS BANK,2026-02-27,,,
ALPHA MORGAN BANK,2026-02-27,0.55,7.95,15.0
CITI BANK,2026-02-27,,8.1,18.0
CORONATION MERCHANT BANK,2026-02-27,1.55,7.95,7.8
ECOBANK,2026-02-27,,,15.56
FBN QUEST MERCHANT BANK,2026-02-27,1.3,5.9,13.4
FCMB,2026-02-27,,,8.36
FIDELITY BANK,2026-02-27,0.18,4.25,13.0
FIRST BANK OF NIGERIA,2026-02-27,0.5,7.95,10.0
FSDH MERCHANT BANK,2026-02-27,,8.25,11.05
GLOBUS BANK LTD,2026-02-27,0.5,,18.5
GREENWICH MERCHANT BANK,2026-02-27,0.01,8.18,15.48
GUARANTY TRUST BANK,2026-02-27,14.0,,17.0
KEYSTONE BANK LTD,2026-02-27,1.0,7.95,8.0
NOVA BANK,2026-02-27,1.97,7.95,19.69
OPTIMUS BANK,2026-02-27,,8.0,14.0
PARALLEX BANK,2026-02-27,7.33,7.95,9.04
POLARIS BANK,2026-02-27,,7.95,12.7
PREMIUM TRUST BANK,2026-02-27,,7.95,10.5
PROVIDUS BANK,2026-02-27,,7.95,15.0
RAND MERCHANT BANK NIG. LTD,2026-02-27,2.5,8.1,16.0
SIGNATURE BANK,2026-02-27,0.16,,17.29
STANBIC IBTC,2026-02-27,,7.95,12.69
STANDARD CHARTERED BANK,2026-02-27,0.06,2.7,9.78
STERLING BANK,2026-02-27,,8.1,12.29
SUNTRUST BANK,2026-02-27,0.33,7.95,16.21
TATUM BANK,2026-02-27,,8.1,15.4
