bank_name,sector,prime_rate,max_rate,reporting_date
FCMB,PUBLIC UTILITIES,,,2026-01-02
FIDELITY BANK,PUBLIC UTILITIES,31.0,,2026-01-02
FIRST BANK OF NIGERIA,PUBLIC UTILITIES,30.0,36.0,2026-01-02
FSDH MERCHANT BANK,PUBLIC UTILITIES,26.0,29.75,2026-01-02
GLOBUS BANK LTD,PUBLIC UTILITIES,,,2026-01-02
GREENWICH MERCHANT BANK,PUBLIC UTILITIES,31.0,33.0,2026-01-02
GUARANTY TRUST BANK,PUBLIC UTILITIES,,,2026-01-02
KEYSTONE BANK LTD,PUBLIC UTILITIES,,,2026-01-02
NOVA BANK,PUBLIC UTILITIES,30.5,36.0,2026-01-02
OPTIMUS BANK,PUBLIC UTILITIES,30.0,20.0,2026-01-02
PARALLEX BANK,PUBLIC UTILITIES,28.5,35.0,2026-01-02
POLARIS BANK,PUBLIC UTILITIES,30.0,32.5,2026-01-02
PREMIUM TRUST BANK,PUBLIC UTILITIES,,,2026-01-02
PROVIDUS BANK,PUBLIC UTILITIES,28.0,,2026-01-02
RAND MERCHANT BANK NIG. LTD,PUBLIC UTILITIES,27.0,35.0,2026-01-02
SIGNATURE BANK,PUBLIC UTILITIES,,,2026-01-02
STANBIC IBTC,PUBLIC UTILITIES,,,2026-01-02
STANDARD CHARTERED BANK,PUBLIC UTILITIES,1.0,60.0,2026-01-02
STERLING BANK,PUBLIC UTILITIES,23.0,26.0,2026-01-02
SUNTRUST BANK,PUBLIC UTILITIES,27.5,35.0,2026-01-02
TATUM BANK,PUBLIC UTILITIES,,,2026-01-02
UNITED BANK FOR AFRICA,PUBLIC UTILITIES,,,2026-01-02
UNION BANK,PUBLIC UTILITIES,28.5,30.0,2026-01-02
UNITY BANK,PUBLIC UTILITIES,,,2026-01-02
WEMA BANK,PUBLIC UTILITIES,30.0,38.0,2026-01-02
ZENITH BANK,PUBLIC UTILITIES,32.5,34.5,2026-01-02
ACCESS BANK,GENERAL COMMERCE,,,2026-01-02
ALPHA MORGAN BANK,GENERAL COMMERCE,25.5,32.0,2026-01-02
CITI BANK,GENERAL COMMERCE,28.0,32.0,2026-01-02
CORONATION MERCHANT BANK,GENERAL COMMERCE,19.5,24.0,2026-01-02
ECOBANK,GENERAL COMMERCE,30.0,34.0,2026-01-02
FBN QUEST MERCHANT BANK,GENERAL COMMERCE,26.75,35.0,2026-01-02
FCMB,GENERAL COMMERCE,22.5,26.3,2026-01-02
FIDELITY BANK,GENERAL COMMERCE,31.0,46.1,2026-01-02
FIRST BANK OF NIGERIA,GENERAL COMMERCE,30.0,36.0,2026-01-02
FSDH MERCHANT BANK,GENERAL COMMERCE,26.0,36.0,2026-01-02
GLOBUS BANK LTD,GENERAL COMMERCE,27.0,33.0,2026-01-02
GREENWICH MERCHANT BANK,GENERAL COMMERCE,31.0,33.0,2026-01-02
GUARANTY TRUST BANK,GENERAL COMMERCE,27.0,30.0,2026-01-02
KEYSTONE BANK LTD,GENERAL COMMERCE,25.0,32.0,2026-01-02
NOVA BANK,GENERAL COMMERCE,30.5,36.0,2026-01-02
OPTIMUS BANK,GENERAL COMMERCE,30.0,25.05,2026-01-02
PARALLEX BANK,GENERAL COMMERCE,28.5,35.0,2026-01-02
POLARIS BANK,GENERAL COMMERCE,30.0,32.5,2026-01-02
PREMIUM TRUST BANK,GENERAL COMMERCE,29.0,45.0,2026-01-02
PROVIDUS BANK,GENERAL COMMERCE,28.0,36.0,2026-01-02
RAND MERCHANT BANK NIG. LTD,GENERAL COMMERCE,27.0,35.0,2026-01-02
SIGNATURE BANK,GENERAL COMMERCE,24.5,24.5,2026-01-02
STANBIC IBTC,GENERAL COMMERCE,32.0,36.0,2026-01-02
STANDARD CHARTERED BANK,GENERAL COMMERCE,1.0,60.0,2026-01-02
STERLING BANK,GENERAL COMMERCE,23.0,26.0,2026-01-02
SUNTRUST BANK,GENERAL COMMERCE,27.5,35.0,2026-01-02
TATUM BANK,GENERAL COMMERCE,22.0,34.0,2026-01-02
UNITED BANK FOR AFRICA,GENERAL COMMERCE,,,2026-01-02
UNION BANK,GENERAL COMMERCE,28.5,40.0,2026-01-02
UNITY BANK,GENERAL COMMERCE,29.0,37.0,2026-01-02
WEMA BANK,GENERAL COMMERCE,30.0,38.0,2026-01-02
ZENITH BANK,GENERAL COMMERCE,32.5,34.5,2026-01-02
ACCESS BANK,TRANSPORTATION & STORAGE,,,2026-01-02
ALPHA MORGAN BANK,TRANSPORTATION & STORAGE,25.5,32.0,2026-01-02
CITI BANK,TRANSPORTATION & STORAGE,,,2026-01-02
CORONATION MERCHANT BANK,TRANSPORTATION & STORAGE,19.5,24.0,2026-01-02
ECOBANK,TRANSPORTATION & STORAGE,9.0,30.0,2026-01-02
FBN QUEST MERCHANT BANK,TRANSPORTATION & STORAGE,26.75,26.75,2026-01-02
FCMB,TRANSPORTATION & STORAGE,33.0,33.0,2026-01-02
FIDELITY BANK,TRANSPORTATION & STORAGE,31.0,46.1,2026-01-02
FIRST BANK OF NIGERIA,TRANSPORTATION & STORAGE,30.0,36.0,2026-01-02
FSDH MERCHANT BANK,TRANSPORTATION & STORAGE,26.0,22.0,2026-01-02
GLOBUS BANK LTD,TRANSPORTATION & STORAGE,,,2026-01-02
GREENWICH MERCHANT BANK,TRANSPORTATION & STORAGE,31.0,33.0,2026-01-02
GUARANTY TRUST BANK,TRANSPORTATION & STORAGE,27.0,30.0,2026-01-02
KEYSTONE BANK LTD,TRANSPORTATION & STORAGE,26.4,26.4,2026-01-02
NOVA BANK,TRANSPORTATION & STORAGE,30.5,36.0,2026-01-02
OPTIMUS BANK,TRANSPORTATION & STORAGE,30.0,25.21,2026-01-02
PARALLEX BANK,TRANSPORTATION & STORAGE,28.5,35.0,2026-01-02
POLARIS BANK,TRANSPORTATION & STORAGE,30.0,32.5,2026-01-02
PREMIUM TRUST BANK,TRANSPORTATION & STORAGE,29.0,36.0,2026-01-02
PROVIDUS BANK,TRANSPORTATION & STORAGE,28.0,30.0,2026-01-02
RAND MERCHANT BANK NIG. LTD,TRANSPORTATION & STORAGE,27.0,35.0,2026-01-02
SIGNATURE BANK,TRANSPORTATION & STORAGE,,,2026-01-02
STANBIC IBTC,TRANSPORTATION & STORAGE,,,2026-01-02
STANDARD CHARTERED BANK,TRANSPORTATION & STORAGE,1.0,48.0,2026-01-02
