bank_name,sector,prime_rate,max_rate,reporting_date
ECOBANK,CAPITAL MARKET,,,2026-02-06
FBN QUEST MERCHANT BANK,CAPITAL MARKET,,,2026-02-06
FCMB,CAPITAL MARKET,,,2026-02-06
FIDELITY BANK,CAPITAL MARKET,31.0,,2026-02-06
FIRST BANK OF NIGERIA,CAPITAL MARKET,30.0,36.0,2026-02-06
FSDH MERCHANT BANK,CAPITAL MARKET,,,2026-02-06
GLOBUS BANK LTD,CAPITAL MARKET,,,2026-02-06
GREENWICH MERCHANT BANK,CAPITAL MARKET,31.0,33.0,2026-02-06
GUARANTY TRUST BANK,CAPITAL MARKET,,,2026-02-06
KEYSTONE BANK LTD,CAPITAL MARKET,,,2026-02-06
NOVA BANK,CAPITAL MARKET,30.5,36.0,2026-02-06
OPTIMUS BANK,CAPITAL MARKET,30.0,20.0,2026-02-06
PARALLEX BANK,CAPITAL MARKET,28.5,35.0,2026-02-06
POLARIS BANK,CAPITAL MARKET,30.0,32.5,2026-02-06
PREMIUM TRUST BANK,CAPITAL MARKET,29.0,36.0,2026-02-06
PROVIDUS BANK,CAPITAL MARKET,28.0,,2026-02-06
RAND MERCHANT BANK NIG. LTD,CAPITAL MARKET,27.0,35.0,2026-02-06
SIGNATURE BANK,CAPITAL MARKET,,,2026-02-06
STANBIC IBTC,CAPITAL MARKET,,,2026-02-06
STANDARD CHARTERED BANK,CAPITAL MARKET,20.0,48.0,2026-02-06
STERLING BANK,CAPITAL MARKET,23.0,26.0,2026-02-06
SUNTRUST BANK,CAPITAL MARKET,27.5,35.0,2026-02-06
TATUM BANK,CAPITAL MARKET,,,2026-02-06
UNITED BANK FOR AFRICA,CAPITAL MARKET,,,2026-02-06
UNION BANK,CAPITAL MARKET,28.5,32.0,2026-02-06
UNITY BANK,CAPITAL MARKET,,,2026-02-06
WEMA BANK,CAPITAL MARKET,30.0,38.0,2026-02-06
ZENITH BANK,CAPITAL MARKET,32.5,34.5,2026-02-06
ACCESS BANK,OIL & GAS,,,2026-02-06
ALPHA MORGAN BANK,OIL & GAS,25.5,32.0,2026-02-06
CITI BANK,OIL & GAS,27.0,33.0,2026-02-06
CORONATION MERCHANT BANK,OIL & GAS,19.5,23.0,2026-02-06
ECOBANK,OIL & GAS,11.47,34.0,2026-02-06
FBN QUEST MERCHANT BANK,OIL & GAS,26.75,35.0,2026-02-06
FCMB,OIL & GAS,11.5,32.0,2026-02-06
FIDELITY BANK,OIL & GAS,31.0,46.1,2026-02-06
FIRST BANK OF NIGERIA,OIL & GAS,30.0,36.0,2026-02-06
FSDH MERCHANT BANK,OIL & GAS,26.0,36.0,2026-02-06
GLOBUS BANK LTD,OIL & GAS,25.0,34.0,2026-02-06
GREENWICH MERCHANT BANK,OIL & GAS,31.0,33.0,2026-02-06
GUARANTY TRUST BANK,OIL & GAS,,,2026-02-06
KEYSTONE BANK LTD,OIL & GAS,7.34,32.0,2026-02-06
NOVA BANK,OIL & GAS,30.5,36.0,2026-02-06
OPTIMUS BANK,OIL & GAS,30.0,22.62,2026-02-06
PARALLEX BANK,OIL & GAS,28.5,35.0,2026-02-06
POLARIS BANK,OIL & GAS,30.0,32.5,2026-02-06
PREMIUM TRUST BANK,OIL & GAS,29.0,36.0,2026-02-06
PROVIDUS BANK,OIL & GAS,28.0,35.0,2026-02-06
RAND MERCHANT BANK NIG. LTD,OIL & GAS,27.0,35.0,2026-02-06
SIGNATURE BANK,OIL & GAS,27.0,27.0,2026-02-06
STANBIC IBTC,OIL & GAS,32.0,36.0,2026-02-06
STANDARD CHARTERED BANK,OIL & GAS,1.0,48.0,2026-02-06
STERLING BANK,OIL & GAS,23.0,26.0,2026-02-06
SUNTRUST BANK,OIL & GAS,27.5,35.0,2026-02-06
TATUM BANK,OIL & GAS,22.0,32.5,2026-02-06
UNITED BANK FOR AFRICA,OIL & GAS,,,2026-02-06
UNION BANK,OIL & GAS,28.5,32.0,2026-02-06
UNITY BANK,OIL & GAS,29.25,37.0,2026-02-06
WEMA BANK,OIL & GAS,30.0,38.0,2026-02-06
ZENITH BANK,OIL & GAS,32.5,33.5,2026-02-06
ACCESS BANK,"AGRICULTURE, FORESTRY AND FISHING",,,2026-02-13
ALPHA MORGAN BANK,"AGRICULTURE, FORESTRY AND FISHING",25.5,32.0,2026-02-13
CITI BANK,"AGRICULTURE, FORESTRY AND FISHING",,,2026-02-13
CORONATION MERCHANT BANK,"AGRICULTURE, FORESTRY AND FISHING",19.5,23.0,2026-02-13
ECOBANK,"AGRICULTURE, FORESTRY AND FISHING",24.0,24.0,2026-02-13
FBN QUEST MERCHANT BANK,"AGRICULTURE, FORESTRY AND FISHING",26.75,35.0,2026-02-13
FCMB,"AGRICULTURE, FORESTRY AND FISHING",23.0,23.0,2026-02-13
FIDELITY BANK,"AGRICULTURE, FORESTRY AND FISHING",31.0,46.1,2026-02-13
FIRST BANK OF NIGERIA,"AGRICULTURE, FORESTRY AND FISHING",30.0,36.0,2026-02-13
FSDH MERCHANT BANK,"AGRICULTURE, FORESTRY AND FISHING",26.0,36.0,2026-02-13
GLOBUS BANK LTD,"AGRICULTURE, FORESTRY AND FISHING",26.0,30.0,2026-02-13
GREENWICH MERCHANT BANK,"AGRICULTURE, FORESTRY AND FISHING",31.0,33.0,2026-02-13
GUARANTY TRUST BANK,"AGRICULTURE, FORESTRY AND FISHING",27.0,30.0,2026-02-13
KEYSTONE BANK LTD,"AGRICULTURE, FORESTRY AND FISHING",19.0,29.0,2026-02-13
NOVA BANK,"AGRICULTURE, FORESTRY AND FISHING",30.5,36.0,2026-02-13
OPTIMUS BANK,"AGRICULTURE, FORESTRY AND FISHING",30.0,33.36,2026-02-13
PARALLEX BANK,"AGRICULTURE, FORESTRY AND FISHING",28.5,35.0,2026-02-13
POLARIS BANK,"AGRICULTURE, FORESTRY AND FISHING",30.0,32.5,2026-02-13
PREMIUM TRUST BANK,"AGRICULTURE, FORESTRY AND FISHING",29.0,36.0,2026-02-13
PROVIDUS BANK,"AGRICULTURE, FORESTRY AND FISHING",28.0,33.0,2026-02-13
RAND MERCHANT BANK NIG. LTD,"AGRICULTURE, FORESTRY AND FISHING",27.0,35.0,2026-02-13
SIGNATURE BANK,"AGRICULTURE, FORESTRY AND FISHING",21.5,22.0,2026-02-13
STANBIC IBTC,"AGRICULTURE, FORESTRY AND FISHING",,,2026-02-13
STANDARD CHARTERED BANK,"AGRICULTURE, FORESTRY AND FISHING",1.0,48.0,2026-02-13
STERLING BANK,"AGRICULTURE, FORESTRY AND FISHING",23.0,26.0,2026-02-13
SUNTRUST BANK,"AGRICULTURE, FORESTRY AND FISHING",27.5,35.0,2026-02-13
TATUM BANK,"AGRICULTURE, FORESTRY AND FISHING",22.0,34.0,2026-02-13
UNITED BANK FOR AFRICA,"AGRICULTURE, FORESTRY AND FISHING",,,2026-02-13
UNION BANK,"AGRICULTURE, FORESTRY AND FISHING",28.5,32.0,2026-02-13
UNITY BANK,"AGRICULTURE, FORESTRY AND FISHING",24.0,34.0,2026-02-13
WEMA BANK,"AGRICULTURE, FORESTRY AND FISHING",9.0,38.0,2026-02-13
ZENITH BANK,"AGRICULTURE, FORESTRY AND FISHING",32.5,30.5,2026-02-13
ACCESS BANK,MINING & QUARRYING,,,2026-02-13
ALPHA MORGAN BANK,MINING & QUARRYING,,,2026-02-13
CITI BANK,MINING & QUARRYING,,,2026-02-13
CORONATION MERCHANT BANK,MINING & QUARRYING,19.5,23.0,2026-02-13
ECOBANK,MINING & QUARRYING,9.0,9.0,2026-02-13
FBN QUEST MERCHANT BANK,MINING & QUARRYING,26.75,26.75,2026-02-13
FCMB,MINING & QUARRYING,9.0,9.0,2026-02-13
FIDELITY BANK,MINING & QUARRYING,31.0,,2026-02-13
FIRST BANK OF NIGERIA,MINING & QUARRYING,30.0,36.0,2026-02-13
FSDH MERCHANT BANK,MINING & QUARRYING,,,2026-02-13
GLOBUS BANK LTD,MINING & QUARRYING,,,2026-02-13
GREENWICH MERCHANT BANK,MINING & QUARRYING,31.0,33.0,2026-02-13
GUARANTY TRUST BANK,MINING & QUARRYING,,,2026-02-13
KEYSTONE BANK LTD,MINING & QUARRYING,,,2026-02-13
NOVA BANK,MINING & QUARRYING,30.5,36.0,2026-02-13
OPTIMUS BANK,MINING & QUARRYING,,,2026-02-13
PARALLEX BANK,MINING & QUARRYING,28.5,35.0,2026-02-13
POLARIS BANK,MINING & QUARRYING,30.0,32.5,2026-02-13
PREMIUM TRUST BANK,MINING & QUARRYING,29.0,35.0,2026-02-13
PROVIDUS BANK,MINING & QUARRYING,28.0,,2026-02-13
RAND MERCHANT BANK NIG. LTD,MINING & QUARRYING,27.0,35.0,2026-02-13
SIGNATURE BANK,MINING & QUARRYING,,,2026-02-13
STANBIC IBTC,MINING & QUARRYING,,,2026-02-13
STANDARD CHARTERED BANK,MINING & QUARRYING,,,2026-02-13
STERLING BANK,MINING & QUARRYING,23.0,26.0,2026-02-13
SUNTRUST BANK,MINING & QUARRYING,27.5,35.0,2026-02-13
TATUM BANK,MINING & QUARRYING,,,2026-02-13
UNITED BANK FOR AFRICA,MINING & QUARRYING,,,2026-02-13
UNION BANK,MINING & QUARRYING,28.5,32.0,2026-02-13
UNITY BANK,MINING & QUARRYING,,,2026-02-13
WEMA BANK,MINING & QUARRYING,30.0,38.0,2026-02-13
ZENITH BANK,MINING & QUARRYING,32.5,34.5,2026-02-13
ACCESS BANK,MANUFACTURING,,,2026-02-13
ALPHA MORGAN BANK,MANUFACTURING,25.5,32.0,2026-02-13
CITI BANK,MANUFACTURING,27.0,33.0,2026-02-13
CORONATION MERCHANT BANK,MANUFACTURING,19.5,23.0,2026-02-13
ECOBANK,MANUFACTURING,9.0,35.0,2026-02-13
FBN QUEST MERCHANT BANK,MANUFACTURING,26.75,35.0,2026-02-13
FCMB,MANUFACTURING,7.0,33.0,2026-02-13
FIDELITY BANK,MANUFACTURING,31.0,46.1,2026-02-13
FIRST BANK OF NIGERIA,MANUFACTURING,30.0,36.0,2026-02-13
FSDH MERCHANT BANK,MANUFACTURING,26.0,36.0,2026-02-13
GLOBUS BANK LTD,MANUFACTURING,25.0,33.5,2026-02-13
GREENWICH MERCHANT BANK,MANUFACTURING,31.0,33.0,2026-02-13
GUARANTY TRUST BANK,MANUFACTURING,27.0,30.0,2026-02-13
KEYSTONE BANK LTD,MANUFACTURING,10.0,32.0,2026-02-13
NOVA BANK,MANUFACTURING,30.5,36.0,2026-02-13
OPTIMUS BANK,MANUFACTURING,30.0,17.32,2026-02-13
PARALLEX BANK,MANUFACTURING,28.5,35.0,2026-02-13
POLARIS BANK,MANUFACTURING,30.0,32.5,2026-02-13
PREMIUM TRUST BANK,MANUFACTURING,29.0,36.0,2026-02-13
PROVIDUS BANK,MANUFACTURING,28.0,35.0,2026-02-13
RAND MERCHANT BANK NIG. LTD,MANUFACTURING,27.0,35.0,2026-02-13
SIGNATURE BANK,MANUFACTURING,21.0,23.0,2026-02-13
STANBIC IBTC,MANUFACTURING,32.0,36.0,2026-02-13
STANDARD CHARTERED BANK,MANUFACTURING,1.0,60.0,2026-02-13
STERLING BANK,MANUFACTURING,23.0,26.0,2026-02-13
SUNTRUST BANK,MANUFACTURING,27.5,35.0,2026-02-13
TATUM BANK,MANUFACTURING,22.0,36.0,2026-02-13
UNITED BANK FOR AFRICA,MANUFACTURING,,,2026-02-13
UNION BANK,MANUFACTURING,28.5,32.0,2026-02-13
UNITY BANK,MANUFACTURING,30.0,37.0,2026-02-13
WEMA BANK,MANUFACTURING,30.0,38.0,2026-02-13
ZENITH BANK,MANUFACTURING,32.5,33.5,2026-02-13
ACCESS BANK,REAL ESTATE ACTIVITIES,,,2026-02-13
ALPHA MORGAN BANK,REAL ESTATE ACTIVITIES,25.5,32.0,2026-02-13
CITI BANK,REAL ESTATE ACTIVITIES,,,2026-02-13
CORONATION MERCHANT BANK,REAL ESTATE ACTIVITIES,19.5,23.0,2026-02-13
ECOBANK,REAL ESTATE ACTIVITIES,,,2026-02-13
FBN QUEST MERCHANT BANK,REAL ESTATE ACTIVITIES,26.75,35.0,2026-02-13
FCMB,REAL ESTATE ACTIVITIES,30.0,30.0,2026-02-13
FIDELITY BANK,REAL ESTATE ACTIVITIES,31.0,46.1,2026-02-13
FIRST BANK OF NIGERIA,REAL ESTATE ACTIVITIES,30.0,36.0,2026-02-13
FSDH MERCHANT BANK,REAL ESTATE ACTIVITIES,26.0,36.0,2026-02-13
GLOBUS BANK LTD,REAL ESTATE ACTIVITIES,,,2026-02-13
GREENWICH MERCHANT BANK,REAL ESTATE ACTIVITIES,31.0,33.0,2026-02-13
GUARANTY TRUST BANK,REAL ESTATE ACTIVITIES,,,2026-02-13
KEYSTONE BANK LTD,REAL ESTATE ACTIVITIES,27.0,27.0,2026-02-13
NOVA BANK,REAL ESTATE ACTIVITIES,30.5,36.0,2026-02-13
OPTIMUS BANK,REAL ESTATE ACTIVITIES,30.0,30.0,2026-02-13
PARALLEX BANK,REAL ESTATE ACTIVITIES,28.5,35.0,2026-02-13
POLARIS BANK,REAL ESTATE ACTIVITIES,30.0,32.5,2026-02-13
PREMIUM TRUST BANK,REAL ESTATE ACTIVITIES,29.0,36.0,2026-02-13
PROVIDUS BANK,REAL ESTATE ACTIVITIES,28.0,35.0,2026-02-13
RAND MERCHANT BANK NIG. LTD,REAL ESTATE ACTIVITIES,27.0,35.0,2026-02-13
SIGNATURE BANK,REAL ESTATE ACTIVITIES,,,2026-02-13
STANBIC IBTC,REAL ESTATE ACTIVITIES,,,2026-02-13
STANDARD CHARTERED BANK,REAL ESTATE ACTIVITIES,8.0,48.0,2026-02-13
STERLING BANK,REAL ESTATE ACTIVITIES,23.0,26.0,2026-02-13
SUNTRUST BANK,REAL ESTATE ACTIVITIES,27.5,35.0,2026-02-13
TATUM BANK,REAL ESTATE ACTIVITIES,20.5,33.0,2026-02-13
UNITED BANK FOR AFRICA,REAL ESTATE ACTIVITIES,,,2026-02-13
UNION BANK,REAL ESTATE ACTIVITIES,28.5,32.0,2026-02-13
UNITY BANK,REAL ESTATE ACTIVITIES,30.0,37.0,2026-02-13
WEMA BANK,REAL ESTATE ACTIVITIES,30.0,38.0,2026-02-13
ZENITH BANK,REAL ESTATE ACTIVITIES,32.5,32.5,2026-02-13
ACCESS BANK,PUBLIC UTILITIES,,,2026-02-13
ALPHA MORGAN BANK,PUBLIC UTILITIES,,,2026-02-13
CITI BANK,PUBLIC UTILITIES,,,2026-02-13
CORONATION MERCHANT BANK,PUBLIC UTILITIES,,,2026-02-13
ECOBANK,PUBLIC UTILITIES,,,2026-02-13
FBN QUEST MERCHANT BANK,PUBLIC UTILITIES,,,2026-02-13
FCMB,PUBLIC UTILITIES,,,2026-02-13
FIDELITY BANK,PUBLIC UTILITIES,31.0,,2026-02-13
FIRST BANK OF NIGERIA,PUBLIC UTILITIES,30.0,36.0,2026-02-13
FSDH MERCHANT BANK,PUBLIC UTILITIES,26.0,29.75,2026-02-13
GLOBUS BANK LTD,PUBLIC UTILITIES,,,2026-02-13
GREENWICH MERCHANT BANK,PUBLIC UTILITIES,31.0,33.0,2026-02-13
GUARANTY TRUST BANK,PUBLIC UTILITIES,,,2026-02-13
KEYSTONE BANK LTD,PUBLIC UTILITIES,,,2026-02-13
NOVA BANK,PUBLIC UTILITIES,30.5,36.0,2026-02-13
OPTIMUS BANK,PUBLIC UTILITIES,30.0,20.0,2026-02-13
PARALLEX BANK,PUBLIC UTILITIES,28.5,35.0,2026-02-13
POLARIS BANK,PUBLIC UTILITIES,30.0,32.5,2026-02-13
PREMIUM TRUST BANK,PUBLIC UTILITIES,,,2026-02-13
PROVIDUS BANK,PUBLIC UTILITIES,28.0,,2026-02-13
RAND MERCHANT BANK NIG. LTD,PUBLIC UTILITIES,27.0,35.0,2026-02-13
SIGNATURE BANK,PUBLIC UTILITIES,,,2026-02-13
STANBIC IBTC,PUBLIC UTILITIES,,,2026-02-13
STANDARD CHARTERED BANK,PUBLIC UTILITIES,1.0,60.0,2026-02-13
STERLING BANK,PUBLIC UTILITIES,23.0,26.0,2026-02-13
SUNTRUST BANK,PUBLIC UTILITIES,27.5,35.0,2026-02-13
TATUM BANK,PUBLIC UTILITIES,,,2026-02-13
UNITED BANK FOR AFRICA,PUBLIC UTILITIES,,,2026-02-13
UNION BANK,PUBLIC UTILITIES,28.5,30.0,2026-02-13
UNITY BANK,PUBLIC UTILITIES,,,2026-02-13
WEMA BANK,PUBLIC UTILITIES,30.0,38.0,2026-02-13
ZENITH BANK,PUBLIC UTILITIES,32.5,34.5,2026-02-13
ACCESS BANK,GENERAL COMMERCE,,,2026-02-13
ALPHA MORGAN BANK,GENERAL COMMERCE,25.5,32.0,2026-02-13
CITI BANK,GENERAL COMMERCE,27.0,33.0,2026-02-13
CORONATION MERCHANT BANK,GENERAL COMMERCE,19.5,23.0,2026-02-13
ECOBANK,GENERAL COMMERCE,10.65,34.0,2026-02-13
FBN QUEST MERCHANT BANK,GENERAL COMMERCE,26.75,35.0,2026-02-13
FCMB,GENERAL COMMERCE,26.3,26.3,2026-02-13
FIDELITY BANK,GENERAL COMMERCE,31.0,46.1,2026-02-13
FIRST BANK OF NIGERIA,GENERAL COMMERCE,30.0,36.0,2026-02-13
FSDH MERCHANT BANK,GENERAL COMMERCE,26.0,36.0,2026-02-13
GLOBUS BANK LTD,GENERAL COMMERCE,25.0,33.0,2026-02-13
GREENWICH MERCHANT BANK,GENERAL COMMERCE,31.0,33.0,2026-02-13
GUARANTY TRUST BANK,GENERAL COMMERCE,27.0,30.0,2026-02-13
KEYSTONE BANK LTD,GENERAL COMMERCE,25.0,32.0,2026-02-13
NOVA BANK,GENERAL COMMERCE,30.5,36.0,2026-02-13
OPTIMUS BANK,GENERAL COMMERCE,30.0,23.93,2026-02-13
PARALLEX BANK,GENERAL COMMERCE,28.5,35.0,2026-02-13
POLARIS BANK,GENERAL COMMERCE,30.0,32.5,2026-02-13
PREMIUM TRUST BANK,GENERAL COMMERCE,29.0,47.31,2026-02-13
PROVIDUS BANK,GENERAL COMMERCE,28.0,36.0,2026-02-13
RAND MERCHANT BANK NIG. LTD,GENERAL COMMERCE,27.0,35.0,2026-02-13
SIGNATURE BANK,GENERAL COMMERCE,24.5,24.5,2026-02-13
STANBIC IBTC,GENERAL COMMERCE,32.0,36.0,2026-02-13
STANDARD CHARTERED BANK,GENERAL COMMERCE,1.0,60.0,2026-02-13
STERLING BANK,GENERAL COMMERCE,23.0,26.0,2026-02-13
SUNTRUST BANK,GENERAL COMMERCE,27.5,35.0,2026-02-13
TATUM BANK,GENERAL COMMERCE,22.0,34.0,2026-02-13
UNITED BANK FOR AFRICA,GENERAL COMMERCE,,,2026-02-13
UNION BANK,GENERAL COMMERCE,28.5,48.0,2026-02-13
UNITY BANK,GENERAL COMMERCE,29.0,37.0,2026-02-13
WEMA BANK,GENERAL COMMERCE,30.0,38.0,2026-02-13
ZENITH BANK,GENERAL COMMERCE,32.5,34.5,2026-02-13
ACCESS BANK,TRANSPORTATION & STORAGE,,,2026-02-13
ALPHA MORGAN BANK,TRANSPORTATION & STORAGE,25.5,32.0,2026-02-13
CITI BANK,TRANSPORTATION & STORAGE,,,2026-02-13
CORONATION MERCHANT BANK,TRANSPORTATION & STORAGE,19.5,23.0,2026-02-13
ECOBANK,TRANSPORTATION & STORAGE,9.0,30.0,2026-02-13
FBN QUEST MERCHANT BANK,TRANSPORTATION & STORAGE,26.75,26.75,2026-02-13
FCMB,TRANSPORTATION & STORAGE,,,2026-02-13
FIDELITY BANK,TRANSPORTATION & STORAGE,31.0,46.1,2026-02-13
FIRST BANK OF NIGERIA,TRANSPORTATION & STORAGE,30.0,36.0,2026-02-13
FSDH MERCHANT BANK,TRANSPORTATION & STORAGE,26.0,36.0,2026-02-13
GLOBUS BANK LTD,TRANSPORTATION & STORAGE,,,2026-02-13
GREENWICH MERCHANT BANK,TRANSPORTATION & STORAGE,31.0,33.0,2026-02-13
GUARANTY TRUST BANK,TRANSPORTATION & STORAGE,27.0,30.0,2026-02-13
KEYSTONE BANK LTD,TRANSPORTATION & STORAGE,26.4,26.4,2026-02-13
NOVA BANK,TRANSPORTATION & STORAGE,30.5,36.0,2026-02-13
OPTIMUS BANK,TRANSPORTATION & STORAGE,30.0,25.29,2026-02-13
PARALLEX BANK,TRANSPORTATION & STORAGE,28.5,35.0,2026-02-13
POLARIS BANK,TRANSPORTATION & STORAGE,30.0,32.5,2026-02-13
PREMIUM TRUST BANK,TRANSPORTATION & STORAGE,29.0,36.0,2026-02-13
PROVIDUS BANK,TRANSPORTATION & STORAGE,28.0,30.0,2026-02-13
RAND MERCHANT BANK NIG. LTD,TRANSPORTATION & STORAGE,27.0,35.0,2026-02-13
SIGNATURE BANK,TRANSPORTATION & STORAGE,,,2026-02-13
STANBIC IBTC,TRANSPORTATION & STORAGE,,,2026-02-13
STANDARD CHARTERED BANK,TRANSPORTATION & STORAGE,1.0,60.0,2026-02-13
STERLING BANK,TRANSPORTATION & STORAGE,23.0,26.0,2026-02-13
SUNTRUST BANK,TRANSPORTATION & STORAGE,27.5,35.0,2026-02-13
TATUM BANK,TRANSPORTATION & STORAGE,22.0,30.0,2026-02-13
UNITED BANK FOR AFRICA,TRANSPORTATION & STORAGE,,,2026-02-13
UNION BANK,TRANSPORTATION & STORAGE,28.5,32.0,2026-02-13
UNITY BANK,TRANSPORTATION & STORAGE,27.0,34.0,2026-02-13
WEMA BANK,TRANSPORTATION & STORAGE,30.0,38.0,2026-02-13
ZENITH BANK,TRANSPORTATION & STORAGE,32.5,34.5,2026-02-13
ACCESS BANK,FINANCE & INSURANCE,,,2026-02-13
ALPHA MORGAN BANK,FINANCE & INSURANCE,25.5,32.0,2026-02-13
CITI BANK,FINANCE & INSURANCE,,,2026-02-13
CORONATION MERCHANT BANK,FINANCE & INSURANCE,19.5,23.0,2026-02-13
ECOBANK,FINANCE & INSURANCE,,,2026-02-13
FBN QUEST MERCHANT BANK,FINANCE & INSURANCE,26.75,35.0,2026-02-13
FCMB,FINANCE & INSURANCE,,,2026-02-13
FIDELITY BANK,FINANCE & INSURANCE,31.0,39.5,2026-02-13
FIRST BANK OF NIGERIA,FINANCE & INSURANCE,30.0,36.0,2026-02-13
FSDH MERCHANT BANK,FINANCE & INSURANCE,26.0,34.0,2026-02-13
GLOBUS BANK LTD,FINANCE & INSURANCE,24.0,31.0,2026-02-13
GREENWICH MERCHANT BANK,FINANCE & INSURANCE,31.0,33.0,2026-02-13
GUARANTY TRUST BANK,FINANCE & INSURANCE,27.0,30.0,2026-02-13
KEYSTONE BANK LTD,FINANCE & INSURANCE,29.0,29.0,2026-02-13
NOVA BANK,FINANCE & INSURANCE,30.5,36.0,2026-02-13
OPTIMUS BANK,FINANCE & INSURANCE,30.0,24.5,2026-02-13
PARALLEX BANK,FINANCE & INSURANCE,28.5,35.0,2026-02-13
POLARIS BANK,FINANCE & INSURANCE,30.0,32.5,2026-02-13
PREMIUM TRUST BANK,FINANCE & INSURANCE,29.0,36.0,2026-02-13
PROVIDUS BANK,FINANCE & INSURANCE,28.0,32.0,2026-02-13
RAND MERCHANT BANK NIG. LTD,FINANCE & INSURANCE,27.0,35.0,2026-02-13
SIGNATURE BANK,FINANCE & INSURANCE,,,2026-02-13
STANBIC IBTC,FINANCE & INSURANCE,32.0,36.0,2026-02-13
STANDARD CHARTERED BANK,FINANCE & INSURANCE,1.0,60.0,2026-02-13
STERLING BANK,FINANCE & INSURANCE,23.0,26.0,2026-02-13
SUNTRUST BANK,FINANCE & INSURANCE,27.5,35.0,2026-02-13
TATUM BANK,FINANCE & INSURANCE,25.5,38.0,2026-02-13
UNITED BANK FOR AFRICA,FINANCE & INSURANCE,,,2026-02-13
UNION BANK,FINANCE & INSURANCE,28.5,32.0,2026-02-13
UNITY BANK,FINANCE & INSURANCE,,,2026-02-13
WEMA BANK,FINANCE & INSURANCE,30.0,38.0,2026-02-13
ZENITH BANK,FINANCE & INSURANCE,32.5,32.5,2026-02-13
ACCESS BANK,GENERAL,,,2026-02-13
ALPHA MORGAN BANK,GENERAL,25.5,32.0,2026-02-13
CITI BANK,GENERAL,27.0,33.0,2026-02-13
CORONATION MERCHANT BANK,GENERAL,19.5,23.0,2026-02-13
ECOBANK,GENERAL,25.0,33.0,2026-02-13
FBN QUEST MERCHANT BANK,GENERAL,26.75,48.0,2026-02-13
FCMB,GENERAL,5.0,5.0,2026-02-13
FIDELITY BANK,GENERAL,31.0,46.1,2026-02-13
FIRST BANK OF NIGERIA,GENERAL,30.0,36.0,2026-02-13
FSDH MERCHANT BANK,GENERAL,26.0,38.0,2026-02-13
GLOBUS BANK LTD,GENERAL,26.5,33.0,2026-02-13
GREENWICH MERCHANT BANK,GENERAL,31.0,33.0,2026-02-13
GUARANTY TRUST BANK,GENERAL,27.0,30.0,2026-02-13
KEYSTONE BANK LTD,GENERAL,3.0,35.0,2026-02-13
NOVA BANK,GENERAL,30.5,36.0,2026-02-13
OPTIMUS BANK,GENERAL,30.0,17.58,2026-02-13
PARALLEX BANK,GENERAL,28.5,35.0,2026-02-13
POLARIS BANK,GENERAL,30.0,32.5,2026-02-13
PREMIUM TRUST BANK,GENERAL,29.0,39.9,2026-02-13
PROVIDUS BANK,GENERAL,28.0,36.0,2026-02-13
RAND MERCHANT BANK NIG. LTD,GENERAL,27.0,35.0,2026-02-13
SIGNATURE BANK,GENERAL,22.5,23.0,2026-02-13
STANBIC IBTC,GENERAL,,,2026-02-13
STANDARD CHARTERED BANK,GENERAL,1.0,60.0,2026-02-13
STERLING BANK,GENERAL,27.0,29.0,2026-02-13
SUNTRUST BANK,GENERAL,27.5,35.0,2026-02-13
TATUM BANK,GENERAL,22.0,37.0,2026-02-13
UNITED BANK FOR AFRICA,GENERAL,35.24,40.24,2026-02-13
UNION BANK,GENERAL,28.5,32.0,2026-02-13
UNITY BANK,GENERAL,17.1,37.0,2026-02-13
WEMA BANK,GENERAL,30.0,38.0,2026-02-13
ZENITH BANK,GENERAL,32.5,34.5,2026-02-13
ACCESS BANK,GOVERNMENT,,,2026-02-13
ALPHA MORGAN BANK,GOVERNMENT,23.0,28.5,2026-02-13
CITI BANK,GOVERNMENT,,,2026-02-13
CORONATION MERCHANT BANK,GOVERNMENT,,,2026-02-13
ECOBANK,GOVERNMENT,,,2026-02-13
FBN QUEST MERCHANT BANK,GOVERNMENT,26.75,35.0,2026-02-13
FCMB,GOVERNMENT,,,2026-02-13
FIDELITY BANK,GOVERNMENT,20.0,31.0,2026-02-13
FIRST BANK OF NIGERIA,GOVERNMENT,30.0,36.0,2026-02-13
FSDH MERCHANT BANK,GOVERNMENT,26.0,32.0,2026-02-13
GLOBUS BANK LTD,GOVERNMENT,,,2026-02-13
GREENWICH MERCHANT BANK,GOVERNMENT,31.0,33.0,2026-02-13
GUARANTY TRUST BANK,GOVERNMENT,,,2026-02-13
KEYSTONE BANK LTD,GOVERNMENT,22.0,23.5,2026-02-13
NOVA BANK,GOVERNMENT,30.5,36.0,2026-02-13
OPTIMUS BANK,GOVERNMENT,,,2026-02-13
PARALLEX BANK,GOVERNMENT,28.5,35.0,2026-02-13
POLARIS BANK,GOVERNMENT,30.0,32.5,2026-02-13
PREMIUM TRUST BANK,GOVERNMENT,29.0,36.0,2026-02-13
PROVIDUS BANK,GOVERNMENT,28.0,35.0,2026-02-13
RAND MERCHANT BANK NIG. LTD,GOVERNMENT,27.0,35.0,2026-02-13
SIGNATURE BANK,GOVERNMENT,,,2026-02-13
STANBIC IBTC,GOVERNMENT,,,2026-02-13
STANDARD CHARTERED BANK,GOVERNMENT,20.0,48.0,2026-02-13
STERLING BANK,GOVERNMENT,23.0,26.0,2026-02-13
